District;Year;Cases;HealtyBehaviour;ID;IT;Population;Expected;SMR
Kab Bogor;2016;3424;55.42979086;1;1;5587390;2448.445633;1.398
Kab Sukabumi;2016;793;49.6828133;2;1;2444616;1071.253191;0.740
Kab Cianjur;2016;799;43.98984554;3;1;2250977;986.3988025;0.810
Kab Bandung;2016;3372;39.72921748;4;1;3596623;1576.073243;2.139
Kab Garut;2016;516;60.76523419;5;1;2569505;1125.980699;0.458
Kab Tasikmalaya;2016;479;25.09515722;6;1;1742276;763.4813506;0.627
Kab Ciamis;2016;748;44.29233021;7;1;1175389;515.0662588;1.452
Kab Kuningan;2016;1714;61.61095873;8;1;1061886;465.3282014;3.683
Kab Cirebon;2016;1877;59.49428611;9;1;2142999;939.0818509;1.999
Kab Majalengka;2016;328;48.99381942;10;1;1188004;520.5942677;0.630
Kab Sumedang;2016;908;56.25293731;11;1;1142097;500.4773986;1.814
Kan Indramayu;2016;960;60.2381996;12;1;1700815;745.3127595;1.288
Kab Subang;2016;699;66.44003671;13;1;1546000;677.4714041;1.032
Kab Purwakarta;2016;785;63.61223169;14;1;932701;408.7181475;1.921
Kab Karawang;2016;1059;52.26173994;15;1;2295778;1006.031012;1.053
Kab Bekasi;2016;1613;65.39507907;16;1;3371691;1477.505974;1.092
Kab Bandung Barat;2016;1554;9.596758416;17;1;1648387;722.3383282;2.151
Kab Ciamis;2016;143;44.40399384;18;1;392817;172.1360185;0.831
Kota Bogor;2016;1224;60.25947437;19;1;1064687;466.5556253;2.623
Kota Sukabumi;2016;942;40.99512755;20;1;321097;140.7076555;6.695
Kota Bandung;2016;3881;102.076373;21;1;2490622;1091.413443;3.556
Kota Cirebon;2016;1111;69.58236928;22;1;310486;136.0578178;8.166
Kab Bekasi;2016;3813;95.3875693;23;1;2787205;1221.378839;3.122
Kota depok;2016;2555;76.6282005;24;1;2179813;955.2140839;2.675
Kota Cimahi;2016;999;50.40250761;25;1;594021;260.3054598;3.838
Kota Tasikmalaya;2016;754;50.25219791;26;1;659606;289.0454094;2.609
Kota Banjar;2016;368;95.89087723;27;1;181901;79.71068944;4.617
Kab Bogor;2017;277;52.66019604;1;2;5715009;2504.369451;0.111
Kab Sukabumi;2017;256;51.47206141;2;2;2453498;1075.145365;0.238
Kab Cianjur;2017;;60.03833025;3;2;2256589;988.8580325;
Kab Bandung;2017;;50.97454716;4;2;3657601;1602.794363;
Kab Garut;2017;406;68.60683051;5;2;2588839;1134.453035;0.358
Kab Tasikmalaya;2017;224;33.16756087;6;2;1747318;765.6908013;0.293
